NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
040000100120	50.0	50.0	38.2	61.8	9	35368	45241	41466
040000100616	70.0	30.0	13.3	86.7	12	33325	46026	44332
040000101203	63.9	36.1	38.9	61.1	8	35791	45253	41573
040000101204	55.4	44.6	28.8	71.2	10	33978	48286	43846
040000101871	60.6	39.4	42.4	57.6	8	36192	45804	41726
040000101872	61.8	38.2	26.5	73.5	9	37406	43981	42240
040000102344	47.1	52.9	54.5	45.5	7	38683	45462	41729
040000102484	67.9	32.1	53.6	46.4	6	34235	43362	38473
040000300147	60.5	39.5	31.6	68.4	10	27977	36886	34072
040000301198	67.6	32.4	43.2	56.8	9	28758	37049	33463
040000301458	56.1	43.9	53.7	46.3	8	29527	37832	33376
040000301969	48.6	51.4	45.9	54.1	9	29568	36501	33316
040000400912	35.0	65.0	-1.0	95.0	14	-1	48041	47236
040000500629	100.0	0.0	50.0	50.0	5	32457	36487	34472
040002101276	69.6	30.4	39.1	60.9	12	25042	30931	28627
040002201354	66.7	-1.0	50.0	50.0	7	27997	30991	29494
040002301352	75.6	24.4	19.5	80.5	9	30170	39279	37501
040002301355	61.9	38.1	38.1	61.9	7	29658	36549	33924
040002301524	65.6	34.4	21.9	78.1	10	33055	37450	36488
040002601389	100.0	0.0	50.0	50.0	5	29096	31999	30548
040002601459	75.0	-1.0	-1.0	75.0	11	-1	37152	35279
040002601460	58.3	41.7	41.7	58.3	10	30959	37964	35045
040002601767	44.4	55.6	-1.0	88.9	12	-1	38409	37366
040008200006	72.2	27.8	30.6	69.4	10	39093	47175	44705
040008201457	66.2	33.8	36.8	63.2	9	38347	47521	44148
040016301820	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040016301821	0.0	-1.0	-1.0	0.0	-1	-1	-2	-1
040016302429	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
040016303138	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
