NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040000100120,50.0,50.0,38.2,61.8,9.0,35368.0,45241.0,41466.0,AZ
040000100616,70.0,30.0,13.3,86.7,12.0,33325.0,46026.0,44332.0,AZ
040000101203,63.9,36.1,38.9,61.1,8.0,35791.0,45253.0,41573.0,AZ
040000101204,55.4,44.6,28.8,71.2,10.0,33978.0,48286.0,43846.0,AZ
040000101871,60.6,39.4,42.4,57.6,8.0,36192.0,45804.0,41726.0,AZ
040000101872,61.8,38.2,26.5,73.5,9.0,37406.0,43981.0,42240.0,AZ
040000102344,47.1,52.9,54.5,45.5,7.0,38683.0,45462.0,41729.0,AZ
040000102484,67.9,32.1,53.6,46.4,6.0,34235.0,43362.0,38473.0,AZ
040000300147,60.5,39.5,31.6,68.4,10.0,27977.0,36886.0,34072.0,AZ
040000301198,67.6,32.4,43.2,56.8,9.0,28758.0,37049.0,33463.0,AZ
040000301458,56.1,43.9,53.7,46.3,8.0,29527.0,37832.0,33376.0,AZ
040000301969,48.6,51.4,45.9,54.1,9.0,29568.0,36501.0,33316.0,AZ
040000400912,35.0,65.0,,95.0,14.0,,48041.0,47236.0,AZ
040000500629,100.0,0.0,50.0,50.0,5.0,32457.0,36487.0,34472.0,AZ
040002101276,69.6,30.4,39.1,60.9,12.0,25042.0,30931.0,28627.0,AZ
040002201354,66.7,,50.0,50.0,7.0,27997.0,30991.0,29494.0,AZ
040002301352,75.6,24.4,19.5,80.5,9.0,30170.0,39279.0,37501.0,AZ
040002301355,61.9,38.1,38.1,61.9,7.0,29658.0,36549.0,33924.0,AZ
040002301524,65.6,34.4,21.9,78.1,10.0,33055.0,37450.0,36488.0,AZ
040002601389,100.0,0.0,50.0,50.0,5.0,29096.0,31999.0,30548.0,AZ
040002601459,75.0,,,75.0,11.0,,37152.0,35279.0,AZ
040002601460,58.3,41.7,41.7,58.3,10.0,30959.0,37964.0,35045.0,AZ
040002601767,44.4,55.6,,88.9,12.0,,38409.0,37366.0,AZ
040008200006,72.2,27.8,30.6,69.4,10.0,39093.0,47175.0,44705.0,AZ
040008201457,66.2,33.8,36.8,63.2,9.0,38347.0,47521.0,44148.0,AZ
040016301820,,0.0,0.0,,,,,,AZ
040016301821,0.0,,,0.0,,,,,AZ
040016302429,,,,,,,,,AZ
040016303138,,0.0,0.0,,,,,,AZ
040021200060,76.2,23.8,47.6,52.4,10.0,31040.0,43664.0,37653.0,AZ
040021200061,65.0,35.0,15.0,85.0,12.0,31588.0,38667.0,37606.0,AZ
040021201120,66.7,33.3,22.2,77.8,12.0,30964.0,41841.0,39424.0,AZ
040021202444,,0.0,0.0,,,,,,AZ
040029500149,66.7,33.3,81.0,19.0,5.0,38686.0,42372.0,39388.0,AZ
040029500326,85.4,14.6,43.9,56.1,8.0,36931.0,43158.0,40424.0,AZ
040029500327,72.2,27.8,44.4,55.6,10.0,38691.0,44094.0,41693.0,AZ
040029500328,62.9,37.1,34.3,65.7,12.0,36998.0,46652.0,43342.0,AZ
040029500329,77.3,22.7,40.9,59.1,10.0,38799.0,44599.0,42226.0,AZ
040029500432,75.8,24.2,33.3,66.7,9.0,38262.0,43749.0,41920.0,AZ
040029500881,69.1,30.9,30.9,69.1,11.0,37396.0,45262.0,42833.0,AZ
040029501126,89.5,10.5,28.9,71.1,12.0,38884.0,45932.0,43892.0,AZ
040029501495,82.1,17.9,35.9,64.1,9.0,35816.0,44701.0,41512.0,AZ
040029501544,79.3,20.7,48.3,51.7,6.0,35795.0,42507.0,39266.0,AZ
040031502217,,0.0,0.0,,,,,,AZ
040045000001,52.8,47.2,34.8,65.2,9.0,37616.0,46750.0,43569.0,AZ
040045001884,48.0,52.0,40.0,60.0,9.0,38803.0,47193.0,43837.0,AZ
040045002273,67.3,32.7,65.5,34.5,5.0,38345.0,44785.0,40570.0,AZ
040048000002,55.6,44.4,,77.8,10.0,,39165.0,37373.0,AZ
040052000003,73.7,26.3,36.8,63.2,15.0,28410.0,42943.0,37589.0,AZ
040052003063,62.5,37.5,,75.0,16.0,,38898.0,36486.0,AZ
040060000007,80.4,19.6,44.6,55.4,9.0,39866.0,53855.0,47609.0,AZ
040060000008,68.8,31.3,45.8,54.2,9.0,40026.0,52649.0,46863.0,AZ
040060000009,73.4,26.6,39.1,60.9,8.0,39547.0,52568.0,47481.0,AZ
040060000010,48.6,51.4,40.5,59.5,8.0,39526.0,52344.0,47148.0,AZ
040060000012,78.6,21.4,48.2,51.8,8.0,39355.0,52600.0,46214.0,AZ
040060000015,54.5,45.5,21.2,78.8,13.0,40248.0,55144.0,51984.0,AZ
040060000016,71.1,28.9,33.3,66.7,8.0,38166.0,51982.0,47377.0,AZ
040060000018,69.6,30.4,46.4,53.6,7.0,39723.0,52747.0,46700.0,AZ
040060000302,75.4,24.6,50.8,49.2,8.0,39451.0,51321.0,45289.0,AZ
040060001283,86.7,13.3,40.0,60.0,10.0,38270.0,57312.0,49695.0,AZ
040060001418,45.6,54.4,45.6,54.4,7.0,37787.0,51527.0,45260.0,AZ
040060001486,80.0,20.0,43.3,56.7,9.0,39210.0,53983.0,47581.0,AZ
040060001707,86.1,13.9,47.2,52.8,6.0,38850.0,52001.0,45791.0,AZ
040060001708,78.4,21.6,40.5,59.5,7.0,38182.0,50525.0,45521.0,AZ
040060002002,67.6,32.4,51.4,48.6,8.0,39820.0,53038.0,46250.0,AZ
040063000019,,,,75.0,11.0,,41541.0,39531.0,AZ
040068000020,40.4,59.6,52.6,47.4,8.0,34572.0,44268.0,39165.0,AZ
040068000021,60.3,39.7,39.7,60.3,10.0,33888.0,44833.0,40490.0,AZ
040068000022,48.0,52.0,24.0,76.0,15.0,34520.0,50491.0,46658.0,AZ
040068000023,56.1,43.9,29.3,70.7,9.0,34195.0,39323.0,37822.0,AZ
040068000025,51.5,48.5,15.2,84.8,15.0,35177.0,48660.0,46617.0,AZ
040068000026,61.8,38.2,26.5,73.5,12.0,34469.0,45408.0,42512.0,AZ
040068000027,64.3,35.7,45.2,54.8,9.0,33537.0,44443.0,39509.0,AZ
040068000028,55.3,44.7,23.4,76.6,12.0,33532.0,45748.0,42889.0,AZ
